Date,Open,High,Low,Close,Volume
1995-03-13,6520.41,6525.89,6496.41,6503.18,34788800
1995-03-14,6501.05,6501.05,6455.18,6480.31,32032400
1995-03-15,6524.07,6557.33,6519.01,6555.19,51793000
1995-03-16,6596.75,6604.44,6564.66,6564.66,45769000
1995-03-17,6614.79,6618.4,6582.59,6594.26,47382900
1995-03-18,6625.43,6625.43,6574.45,6587.96,31164400
1995-03-20,6585.25,6585.25,6541.58,6541.58,32771300
1995-03-21,6585.79,6587.4,6520.08,6524.87,31069300
1995-03-22,6438.85,6479.01,6355.71,6479.01,44708200
1995-03-23,6496.31,6496.31,6439.39,6441.85,23359500
1995-03-24,6434.02,6471.63,6428.6,6433.44,27645800
1995-03-25,6461.75,6465.73,6399.39,6401.39,34110900
1995-03-27,6404.8,6470.28,6366.75,6470.28,45917100
1995-03-28,6506.75,6506.75,6463.88,6464.76,52354900
1995-03-30,6482.44,6514.46,6460.95,6514.46,59900700
1995-03-31,6534.64,6557.97,6524,6524,1135000
1995-04-01,6537.18,6573.54,6503.97,6573.54,41201700
1995-04-06,6599.29,6599.29,6571.01,6575.71,58595200
1995-04-07,6593.69,6593.69,6518.83,6518.83,55698000
1995-04-08,6548.57,6552.49,6500.35,6552.49,44917900
1995-04-10,6561.93,6583.28,6528.98,6528.98,43558200
1995-04-11,6535.1,6541.02,6497.06,6497.06,37826900
1995-04-12,6532.52,6532.52,6453.94,6462.34,34398000
1995-04-13,6476.57,6476.57,6411.23,6417.58,33312900
1995-04-14,6427.9,6444.63,6356.55,6356.55,42311300
1995-04-15,6351.87,6394.69,6247.75,6247.75,46106800
1995-04-17,6218.43,6239.74,6086.7,6112.07,41974300
1995-04-18,6163.18,6163.18,6050.81,6106.56,40073300
1995-04-19,6141.59,6141.59,6095.02,6109.6,25602800
1995-04-20,6132.43,6167.56,6125.73,6136.54,23582000
1995-04-21,6158.92,6158.92,5932.58,5943.21,49095600
1995-04-22,5981.13,5999.06,5913.18,5987.93,30794100
1995-04-24,5992.32,6006.51,5945.93,5963.86,34521500
1995-04-25,5936.46,5936.46,5776.68,5803.14,49320700
1995-04-26,5858.57,5864.01,5667.55,5735.23,48216200
1995-04-27,5769.76,5898.53,5727.79,5898.53,41302300
1995-04-28,5820.07,5854.92,5786.91,5825.99,34746600
1995-04-29,5853.81,5861.11,5803.78,5803.78,525000
1995-05-01,5821.33,5821.33,5763.44,5789.98,22028800
1995-05-02,5738.25,5771.81,5661.59,5771.81,35129700
1995-05-03,5799.47,5835.22,5779.68,5779.68,29247900
1995-05-04,5797.79,5797.79,5699.14,5699.14,32066300
1995-05-05,5645.88,5670.53,5571.95,5574.99,44121600
1995-05-06,5537.65,5642.16,5537.65,5642.16,28330400
1995-05-08,5630.11,5674.53,5615.46,5674.53,30325800
1995-05-09,5674.36,5789.45,5674.36,5775.15,44854700
1995-05-10,5768.45,5794.69,5742.31,5765.42,41701900
1995-05-11,5785.41,5820.52,5776.18,5776.18,37947700
1995-05-12,5758.24,5768.65,5715.87,5740.02,29997700
1995-05-13,5789.33,5848.09,5788.6,5844.29,38027200
1995-05-15,5844.86,5852.83,5825.19,5828.21,34503400
1995-05-16,5816.74,5823.83,5773.01,5799.88,27786400
1995-05-17,5823.84,5838.16,5771.46,5771.46,31571500
1995-05-18,5746.9,5760.56,5728.23,5758.53,24145700
1995-05-19,5778.99,5786.98,5738.92,5757.65,27038000
1995-05-20,5791.64,5797.06,5730.94,5730.94,24347800
1995-05-22,5722.62,5728.24,5690.63,5705.5,21684000
1995-05-23,5742.49,5742.49,5705.03,5705.03,23652000
1995-05-24,5683.19,5683.19,5626.96,5645.71,28894300
1995-05-25,5623.2,5688.85,5618.99,5618.99,32801200
1995-05-26,5561,5597.93,5512.99,5561.15,33640400
1995-05-27,5598.13,5598.13,5524.07,5524.07,22441700
1995-05-29,5493.94,5597.44,5417.47,5597.44,33638400
1995-05-30,5590.53,5676.07,5590.53,5647.07,35348500
1995-05-31,5662.26,5707.22,5652.46,5674.55,770000
1995-06-01,5703.81,5727.65,5692.91,5714.33,28684200
1995-06-05,5745.83,5745.83,5671.18,5671.18,23993300
1995-06-06,5664.13,5680.42,5629.24,5678.31,25577300
1995-06-07,5726.97,5743.5,5681.58,5681.58,38190800
1995-06-08,5677.45,5694.37,5638.03,5641.02,24586800
1995-06-09,5646.58,5646.58,5603.74,5609.79,21084500
1995-06-10,5602.79,5641.19,5587.44,5641.19,15624500
1995-06-12,5664.15,5664.15,5615.7,5620.94,17795600
1995-06-13,5622.72,5623.36,5513.7,5513.7,27905000
1995-06-14,5478.3,5482.5,5400.11,5413.74,35021600
1995-06-15,5459.07,5459.07,5318.79,5360.09,36367400
1995-06-16,5401.09,5443.43,5350.48,5443.43,33393200
1995-06-17,5344.3,5377.05,5328.37,5341.2,28286500
1995-06-19,5329.85,5329.85,5249.88,5249.88,25632000
1995-06-20,5293.18,5332.71,5248.36,5317.04,27578800
1995-06-21,5320.02,5320.02,5238.79,5238.79,27296800
1995-06-22,5249.21,5361.6,5199.86,5361.21,36003700
1995-06-23,5397.96,5527.2,5392.57,5490.79,47301000
1995-06-24,5545.34,5629.44,5528.75,5629.44,42744000
1995-06-26,5681.53,5690.74,5616.48,5646.83,57541300
1995-06-27,5609.06,5660.01,5579.3,5593.01,43237800
1995-06-28,5580.2,5611.36,5495.88,5495.88,38625000
1995-06-29,5533.47,5566.81,5436.72,5444.63,44352700
1995-06-30,5479.22,5479.22,5410.96,5444.97,720000
1995-07-03,5402.04,5417.21,5309.41,5312.94,28409500
1995-07-04,5365.38,5369.05,5294.18,5320.25,26641200
1995-07-05,5392.23,5482.32,5366.65,5482.32,37165200
1995-07-06,5490.64,5549.21,5477.68,5478.18,40762400
1995-07-07,5537.89,5618.2,5529.42,5598.74,47654500
1995-07-08,5668.68,5668.68,5580,5591.77,44664400
1995-07-10,5626.17,5626.17,5557.31,5569.83,30911700
1995-07-11,5586.68,5594.87,5543.07,5594.87,28861700
1995-07-12,5652.87,5670.5,5624.69,5624.69,44315500
1995-07-13,5612.77,5612.77,5578.92,5593,30065100
1995-07-14,5609.93,5624.4,5549.7,5549.7,35641700
1995-07-15,5486.03,5525.4,5477.02,5505.98,27001600
1995-07-17,5512.48,5514.26,5421.57,5429.4,28785700
1995-07-18,5385.36,5416.94,5337.53,5416.94,30438700
1995-07-19,5249.52,5304.3,5162.08,5187.79,45030700
1995-07-20,5179.68,5185.91,5047.72,5047.72,37649200
1995-07-21,5073.4,5149.68,5058.7,5058.7,37680400
1995-07-22,5095.94,5116.91,4950.14,5116.91,36561100
1995-07-24,5066.53,5134.4,5066.29,5134.4,29163400
1995-07-25,5152.94,5152.94,4994.7,4994.7,33857700
1995-07-26,4926.16,5030.97,4926.16,5001.6,30089500
1995-07-27,5218.75,5285.51,5181.26,5279.32,47412600
1995-07-28,5256.27,5335.32,5256.27,5297.11,41791600
1995-07-29,5264.37,5291.21,5218.42,5218.42,27761900
1995-07-31,5159.19,5198.26,5153.02,5180.42,560000
1995-08-01,5188.25,5214.13,5147.68,5199.63,23187600
1995-08-02,5228.59,5228.59,5042.79,5042.79,32042800
1995-08-03,4936.9,5051.15,4936.9,5051.15,29807300
1995-08-04,5112.15,5112.15,4954.98,5071.89,34203000
1995-08-05,4802.24,4879.51,4802.24,4823.86,33061600
1995-08-07,4800.6,4921.44,4761.7,4919.11,33282600
1995-08-08,4911.26,4938.48,4881.85,4917.09,26011100
1995-08-09,4828.33,4832.65,4715.85,4729.37,31536700
1995-08-10,4769.26,4786.89,4730.32,4769.85,25485300
1995-08-11,4628.8,4640.15,4544.63,4551.89,34517700
1995-08-12,4720.8,4720.8,4648.37,4648.37,35188200
1995-08-14,4585.97,4609.52,4499.95,4503.37,27670400
1995-08-15,4559.37,4591.41,4474.32,4591.41,34437800
1995-08-16,4613.73,4794.23,4605.43,4792.39,46751100
1995-08-17,4814.22,4906.48,4796.11,4825.78,54713100
1995-08-18,4774.09,4840.54,4774.09,4830.34,31358400
1995-08-19,4787.27,4798.45,4741.79,4742.81,21831700
1995-08-21,4731.56,4778.42,4731.03,4773.38,18492600
1995-08-22,4774.32,4807.21,4736.11,4807.21,19615600
1995-08-23,4831.16,4869.28,4750.43,4753.37,30002600
1995-08-24,4757.33,4762.01,4630.98,4654.39,25818200
1995-08-25,4636.57,4670.61,4584.18,4670.61,26692000
1995-08-26,4722.23,4741.43,4650.44,4650.44,23050400
1995-08-28,4669.18,4730.56,4640.19,4730.56,19368800
1995-08-29,4748.98,4768.4,4721.08,4768.4,24906500
1995-08-30,4783.86,4852.51,4772.45,4832.48,37237400
1995-08-31,4834.78,4853.08,4809.93,4809.93,985000
1995-09-01,4846.83,4865.7,4785.29,4785.29,29833700
1995-09-02,4801.44,4860.91,4772.67,4860.91,21725200
1995-09-04,4892.34,4953.08,4874.64,4937.02,44135600
1995-09-05,4993.79,5006.04,4944.95,4965.27,48235400
1995-09-06,5020.65,5123.61,5008.45,5111.82,65654100
1995-09-07,5137.08,5166.52,5102.69,5133.44,61104500
1995-09-08,5150.59,5182.51,5114.29,5182.51,62560500
1995-09-11,5192.38,5221.89,5063.82,5063.82,56323500
1995-09-12,5040.19,5085.04,5017.96,5067.75,34956000
1995-09-13,5040.57,5063.04,4986.99,4986.99,33254100
1995-09-14,5023.86,5029.81,4956.02,4956.02,42473000
1995-09-15,4939.03,4995.53,4916.62,4995.53,26620100
1995-09-16,4991.85,5014.94,4962.54,4962.54,21319900
1995-09-18,4976.56,5040.15,4964.11,5040.15,30313200
1995-09-19,5071.91,5079.31,5037.19,5045.25,37691500
1995-09-20,5023.72,5029.66,4986.33,4994.39,23941100
1995-09-21,4975.88,5020.22,4975.88,4980.03,25995300
1995-09-23,4987.49,5008.13,4981.65,4991.57,22555100
1995-09-25,5105.48,5163.84,5088.96,5160.16,52291100
1995-09-26,5170.84,5170.84,5093.36,5094.42,44242600
1995-09-27,5139.76,5168.34,5077.47,5078.42,39827900
1995-09-29,5109.33,5109.33,5011.69,5013.43,34771800
1995-09-30,4988.37,5033.06,4986.72,5033.06,645000
1995-10-02,5027.51,5061.77,5012.73,5045.62,22502800
1995-10-03,5061.09,5082.76,5035.55,5035.79,27612600
1995-10-04,5061.24,5086.45,5036.19,5086.45,27054400
1995-10-05,5116.62,5134.69,5100.47,5100.47,39201200
1995-10-06,5160.31,5213.73,5154.17,5213.73,52319100
1995-10-07,5251.72,5251.72,5196.58,5207.12,40639900
1995-10-09,5244.49,5265.59,5212.24,5260.78,44323000
1995-10-11,5200.12,5213.35,5152.85,5165.36,45494400
1995-10-12,5115.91,5168.88,5108.93,5108.93,32795000
1995-10-13,5135.48,5135.48,5068.71,5115.82,33069800
1995-10-14,5058.63,5081.89,5010.65,5015.61,27133700
1995-10-16,5072.31,5076.01,5036.04,5038.98,21978400
1995-10-17,5070.25,5085.15,5028.96,5081,23498300
1995-10-18,5076.96,5080.97,5033.07,5033.07,22645900
1995-10-19,4992.12,4999.92,4935.67,4941.42,29810300
1995-10-20,4967.21,4967.21,4930.33,4953.56,20680800
1995-10-21,4947.76,4947.76,4894.43,4937.98,19866700
1995-10-23,4953.11,4978.6,4953.11,4975.44,19457900
1995-10-24,4994.43,5003.76,4968.2,4995.79,20821400
1995-10-26,5031.24,5041.77,4990.57,4990.57,23129600
1995-10-27,4941.29,4946.02,4896.12,4936.77,21212400
1995-10-28,4937.76,4937.76,4885.85,4897.45,15292300
1995-10-30,4846.19,4848.74,4816.71,4817.04,599000
1995-11-01,4801.71,4838.37,4797.58,4801.66,15181300
1995-11-02,4826.67,4832.44,4785.73,4826.64,18120200
1995-11-03,4810.61,4819.99,4735.73,4819.99,22680500
1995-11-04,4801.54,4835.43,4800.31,4814.35,15179400
1995-11-06,4809.27,4862.59,4804.92,4862.59,15801700
1995-11-07,4912.39,4912.39,4825.19,4825.19,23653400
1995-11-08,4825.87,4826.33,4773.7,4773.7,15390000
1995-11-09,4749.21,4755.63,4715.96,4717.48,16753800
1995-11-10,4734.51,4742.6,4688.61,4694.96,16703500
1995-11-11,4714.45,4721.86,4677.08,4718.6,13798100
1995-11-14,4649.83,4659.11,4612.18,4630.97,16708500
1995-11-15,4630.84,4661.14,4590.68,4608.7,17210900
1995-11-16,4617.34,4644.92,4583.17,4639.28,19189900
1995-11-17,4644.28,4650.19,4566.08,4566.08,17428400
1995-11-18,4556.27,4589.69,4530.96,4583.49,15687300
1995-11-20,4593.57,4593.57,4556.75,4565.72,12259700
